PASS (expected invalid, actually invalid) http://yahoo.com:90/..//file
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing//file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing//file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing//file
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testt123?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testt123?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testt123
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/$2$3?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/$2$3?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/$2$3
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..
PASS (expected invalid, actually invalid) http://yahoo.com:12345/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:12345/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:12345/../
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testbla/?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testbla/?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testbla/
 FAIL (expected valid, actually invalid) http://yahoo.com:12345?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing/file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing/file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing/file
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..//file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:12345/..//file
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing//file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing//file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:12345/testing//file
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0/testing
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testt123?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testt123?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0/testt123
 FAIL (expected valid, actually invalid) http://yahoo.com:0/$2$3?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/$2$3?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0/$2$3
PASS (expected invalid, actually invalid) http://yahoo.com:0/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:0/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:0/..
PASS (expected invalid, actually invalid) http://yahoo.com:0/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:0/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:0/../
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testbla/?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testbla/?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0/testbla/
 FAIL (expected valid, actually invalid) http://yahoo.com:0?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing/file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing/file?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:0/testing/file
PASS (expected invalid, actually invalid) http://yahoo.com:0/..//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:0/..//file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:0/..//file
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing//file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing//file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com:0/testing//file
 FAIL (expected valid, actually invalid) http://yahoo.com/testing?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/testing?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com/testing
 FAIL (expected valid, actually invalid) http://yahoo.com/testt123?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/testt123?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com/testt123
 FAIL (expected valid, actually invalid) http://yahoo.com/$2$3?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/$2$3?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com/$2$3
PASS (expected invalid, actually invalid) http://yahoo.com/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com/..
PASS (expected invalid, actually invalid) http://yahoo.com/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com/../
 FAIL (expected valid, actually invalid) http://yahoo.com/testbla/?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/testbla/?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com/testbla/
 FAIL (expected valid, actually invalid) http://yahoo.com?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com
 FAIL (expected valid, actually invalid) http://yahoo.com/testing/file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/testing/file?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com/testing/file
PASS (expected invalid, actually invalid) http://yahoo.com/..//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com/..//file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com/..//file
 FAIL (expected valid, actually invalid) http://yahoo.com/testing//file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com/testing//file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://yahoo.com/testing//file
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testing?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testing?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testing
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testt123?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testt123?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testt123
PASS (expected invalid, actually invalid) http://yahoo.com:-1/$2$3?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/$2$3?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/$2$3
PASS (expected invalid, actually invalid) http://yahoo.com:-1/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/..
PASS (expected invalid, actually invalid) http://yahoo.com:-1/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/../
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testbla/?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testbla/?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testbla/
PASS (expected invalid, actually invalid) http://yahoo.com:-1?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:-1?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:-1
PASS (expected invalid, actually invalid) http://yahoo.com:-1/testing/file?anythinggoes=view
